Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2019,"Abilene Christian",66.5681,293,66.0042,254,107.102,87,103.625,186,96.7466,43,101.539,119,2.08626,145,15
2019,"Air Force",67.2794,269,66.407,234,98.7687,274,100.431,250,105.682,242,107.275,238,-6.84432,241,
2019,Akron,68.4518,207,66.015,253,99.4248,264,99.793,257,94.0099,11,93.7022,21,6.09084,107,
2019,Alabama,69.8652,124,68.6333,115,102.478,185,108.113,100,102.222,155,96.6354,50,11.4774,59,
2019,"Alabama A&M",67.56,252,65.4905,282,88.7657,347,86.4818,350,104.862,219,109.142,265,-22.66,344,
2019,"Alabama St.",68.4214,210,67.0597,198,95.3075,322,94.5978,326,106.197,250,110.961,304,-16.3633,329,
2019,Albany,66.3119,301,65.7351,268,99.2601,267,98.154,283,103.216,176,108.006,250,-9.85221,277,
2019,"Alcorn St.",67.402,260,65.6105,277,89.3041,346,88.7838,348,108.22,288,113.427,332,-24.643,349,
2019,American,67.6929,247,66.4126,233,104.592,141,101.788,221,100.136,104,104.919,186,-3.13075,198,
2019,"Appalachian St.",73.1875,27,71.4297,27,104.692,138,105.935,141,110.231,315,109.544,274,-3.60901,205,
2019,Arizona,68.596,197,66.5684,224,102.398,188,104.95,157,99.8089,95,98.0905,70,6.85927,99,
2019,"Arizona St.",72.1332,45,70.4917,46,106.426,102,109.774,68,99.8027,94,98.5646,79,11.2091,61,11
2019,Arkansas,71.8421,49,70.1964,55,103.964,152,109.548,71,100.348,111,97.2113,60,12.3368,57,
2019,"Arkansas Pine Bluff",66.8726,282,65.0612,300,95.9426,317,96.0727,312,104.658,209,109.714,277,-13.641,316,
2019,"Arkansas St.",69.7385,131,68.1325,140,101.692,212,102.253,209,110.33,316,109.94,284,-7.68696,254,
2019,Army,71.4085,64,69.5942,76,98.5619,275,96.119,311,102.098,153,102.972,148,-6.85322,242,
2019,Auburn,68.8594,182,67.5363,166,113.662,14,119.571,8,99.1996,77,96.2397,45,23.3317,13,5
2019,"Austin Peay",71.1601,73,68.8562,105,111.649,28,110.619,55,104.526,205,106.718,226,3.90139,135,
2019,"Ball St.",71.5499,60,70.1499,58,102.058,203,102.291,207,98.9674,70,98.209,74,4.08197,134,
2019,Baylor,66.6446,289,65.2511,291,107.248,83,113.517,28,100.481,114,98.2238,75,15.2935,41,9
