"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM","seed"
2021,"Abilene Christian",71.6065,74,69.9524,102,106.373,73,103.047,157,86.3925,1,92.9196,30,10.1273,86,"14"
2021,"Air Force",63.9145,341,63.1058,349,92.1076,319,94.4641,299,112.554,337,110.466,322,-16.0021,329,""
2021,"Akron",69.9086,142,68.7787,156,108.567,43,108.767,72,102.99,220,100.5,138,8.26765,99,""
2021,"Alabama",75.1471,10,73.9267,9,105.998,83,111.722,34,92.8416,18,86.734,2,24.9876,8,"2"
2021,"Alabama A&M",69.9672,139,67.8101,210,88.2408,341,84.3924,354,94.3829,33,105.836,256,-21.4437,348,""
2021,"Alabama St.",72.35,47,71.0818,62,88.7809,338,83.9387,356,98.676,95,110.457,321,-26.5184,354,""
2021,"Albany",69.6695,150,69.895,106,99.3743,206,97.296,260,98.7827,99,103.799,208,-6.50325,234,""
2021,"Alcorn St.",71.1493,91,69.7204,111,93.3911,307,90.5317,337,105.749,275,110.238,320,-19.7065,346,""
2021,"American",67.7295,238,67.7644,214,97.2799,251,96.5962,273,104.022,241,105.709,252,-9.11268,261,""
2021,"Appalachian St.",66.0679,308,65.6825,310,100.327,189,99.3998,227,101.33,165,103.738,205,-4.33805,209,"16"
2021,"Arizona",68.2874,211,68.0267,197,109.611,34,113.405,25,99.7887,127,97.4671,85,15.9375,43,""
2021,"Arizona St.",72.5746,45,72.8178,22,101.415,168,106.479,101,105.508,269,100.247,129,6.23213,113,""
2021,"Arkansas",75.3323,7,73.1045,17,108.753,39,111.502,35,93.4594,22,89.9724,14,21.5292,18,"3"
2021,"Arkansas Pine Bluff",69.4302,168,67.2603,239,88.4297,340,90.7664,335,109.74,320,114.812,355,-24.0453,351,""
2021,"Arkansas St.",69.15,177,67.9173,205,99.682,202,98.9901,235,102.533,209,106.992,274,-8.00151,251,""
2021,"Army",69.9251,141,68.4317,176,100.851,182,98.657,239,100.723,152,100.922,149,-2.26514,189,""
2021,"Auburn",73.3981,30,71.2598,54,104.136,110,111.349,37,102.899,217,98.328,101,13.0213,64,""
2021,"Austin Peay",68.6263,195,67.0697,249,105.545,86,103.905,135,103.343,227,108.644,303,-4.73885,214,""
