team,pretourney_odds,season,odds_int,implied_probability
Duke,250,2000,250,0.2857142857142857
Michigan State,400,2000,400,0.2
Arizona,700,2000,700,0.125
Maryland,800,2000,800,0.1111111111111111
Stanford,400,2000,400,0.2
Illinois,600,2000,600,0.14285714285714285
Kentucky,1200,2000,1200,0.07692307692307693
Kansas,1500,2000,1500,0.0625
UCLA,1800,2000,1800,0.05263157894736842
Cincinnati,7500,2000,7500,0.013157894736842105
Temple,10000,2000,10000,0.009900990099009901
Ole Miss,2200,2000,2200,0.043478260869565216
USC,4500,2000,4500,0.021739130434782608
Georgetown,8000,2000,8000,0.012345679012345678
Gonzaga,20000,2000,20000,0.004975124378109453
Penn State,25000,2000,25000,0.00398406374501992
North Carolina,1000,2000,1000,0.09090909090909091
Boston College,1500,2000,1500,0.0625
Florida,1500,2000,1500,0.0625
Iowa State,1500,2000,1500,0.0625
Oklahoma,3000,2000,3000,0.03225806451612903
Virginia,3000,2000,3000,0.03225806451612903
Indiana,3500,2000,3500,0.027777777777777776
Syracuse,4000,2000,4000,0.024390243902439025
Wisconsin,4000,2000,4000,0.024390243902439025
Wake Forest,5000,2000,5000,0.0196078431372549
Arkansas,6000,2000,6000,0.01639344262295082
Providence,6000,2000,6000,0.01639344262295082
Ohio State,7500,2000,7500,0.013157894736842105
Creighton,8000,2000,8000,0.012345679012345678
Notre Dame,10000,2000,10000,0.009900990099009901
Tennessee,10000,2000,10000,0.009900990099009901
Texas,10000,2000,10000,0.009900990099009901
Charlotte,12500,2000,12500,0.007936507936507936
Georgia,12500,2000,12500,0.007936507936507936
Missouri,12500,2000,12500,0.007936507936507936
California,15000,2000,15000,0.006622516556291391
St Joseph's,15000,2000,15000,0.006622516556291391
Georgia Tech,20000,2000,20000,0.004975124378109453
Iowa,20000,2000,20000,0.004975124378109453
Xavier,20000,2000,20000,0.004975124378109453
Butler,25000,2000,25000,0.00398406374501992
BYU,30000,2000,30000,0.0033222591362126247
Fresno State,30000,2000,30000,0.0033222591362126247
Oklahoma State,30000,2000,30000,0.0033222591362126247
Utah State,30000,2000,30000,0.0033222591362126247
Indiana State,40000,2000,40000,0.0024937655860349127
Kent State,40000,2000,40000,0.0024937655860349127
CS Northridge,50000,2000,50000,0.001996007984031936
Georgia State,50000,2000,50000,0.001996007984031936
Hofstra,50000,2000,50000,0.001996007984031936
Western Kentucky,60000,2000,60000,0.0016638935108153079
George Mason,75000,2000,75000,0.0013315579227696406
Iona,75000,2000,75000,0.0013315579227696406
Eastern Illinois,100000,2000,100000,0.000999000999000999
Hawaii,100000,2000,100000,0.000999000999000999
Princeton,100000,2000,100000,0.000999000999000999
Alabama State,150000,2000,150000,0.0006662225183211193
Hampton,150000,2000,150000,0.0006662225183211193
Holy Cross,150000,2000,150000,0.0006662225183211193
Monmouth,150000,2000,150000,0.0006662225183211193
Northwestern State,150000,2000,150000,0.0006662225183211193
Southern Utah,150000,2000,150000,0.0006662225183211193
UNC Greensboro,150000,2000,150000,0.0006662225183211193
Winthrop,150000,2000,150000,0.0006662225183211193
Maryland,350,2001,350,0.2222222222222222
Kansas,300,2001,300,0.25
Oklahoma,800,2001,800,0.1111111111111111
Indiana,7500,2001,7500,0.013157894736842105
Duke,250,2001,250,0.2857142857142857
Cincinnati,700,2001,700,0.125
Connecticut,800,2001,800,0.1111111111111111
Florida,1200,2001,1200,0.07692307692307693
Oregon,1200,2001,1200,0.07692307692307693
Arizona,1500,2001,1500,0.0625
Oklahoma State,2500,2001,2500,0.038461538461538464
Alabama,2500,2001,2500,0.038461538461538464
California,2500,2001,2500,0.038461538461538464
Kent State,2500,2001,2500,0.038461538461538464
Pittsburgh,2500,2001,2500,0.038461538461538464
